Chromophore,Solvent,lambda_abs,lambda_em,QY,log_eps,Lifetime (ns),Molecular weight (g mol-1),Reference,split,strict_core
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,680.0,623.0,0.57,3.04,3.87,846.3984059040001,10.1016/j.dyepig.2018.04.054,train,True
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1,Cc1ccccc1,692.0,637.0,0.45,3.83,3.36,1168.543691288,10.1016/j.dyepig.2018.04.054,test,True
CC1=CC(C)=[N+]2C1=Cc1ccc(CCC(=O)ON3C(=O)CCC3=O)n1[B-]2(F)F,CO,502.0,510.0,,,5.7,389.135842896,http://www.iss.com/resources/research/technical_notes/k2ch_flt.html,train,True
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC#N,497.0,508.0,0.52,,3.81,324.16093544800003,10.1016/j.dyepig.2019.01.019,train,True
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC(C)=O,498.0,509.0,0.46,,3.65,324.16093544800003,10.1016/j.dyepig.2019.01.019,train,True
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC(=O)C(C)(C)C,499.0,511.0,0.55,,3.39,324.16093544800003,10.1016/j.dyepig.2019.01.019,train,True
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CCOC(C)=O,498.0,510.0,0.58,,3.98,324.16093544800003,10.1016/j.dyepig.2019.01.019,train,True
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,C1CCOC1,500.0,512.0,0.56,,3.73,324.16093544800003,10.1016/j.dyepig.2019.01.019,train,True
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CCCCCC,501.0,511.0,0.56,,3.37,324.16093544800003,10.1016/j.dyepig.2019.01.019,train,True
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CO,498.0,510.0,0.58,,3.9,324.16093544800003,10.1016/j.dyepig.2019.01.019,train,True
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC#N,499.0,512.0,0.57,,,354.171500132,10.1016/j.dyepig.2019.01.019,val,True
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(C)=O,501.0,513.0,0.78,,,354.171500132,10.1016/j.dyepig.2019.01.019,val,True
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(=O)C(C)(C)C,502.0,514.0,0.74,,,354.171500132,10.1016/j.dyepig.2019.01.019,val,True
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCOC(C)=O,502.0,514.0,0.76,,,354.171500132,10.1016/j.dyepig.2019.01.019,val,True
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,C1CCOC1,503.0,516.0,0.87,,6.42,354.171500132,10.1016/j.dyepig.2019.01.019,val,True
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCCCCC,504.0,516.0,0.98,,5.78,354.171500132,10.1016/j.dyepig.2019.01.019,val,True
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CO,500.0,514.0,0.69,,,354.171500132,10.1016/j.dyepig.2019.01.019,val,True
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC#N,500.0,513.0,0.54,,,384.182064816,10.1016/j.dyepig.2019.01.019,train,True
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(C)=O,503.0,516.0,0.72,,,384.182064816,10.1016/j.dyepig.2019.01.019,train,True
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(=O)C(C)(C)C,505.0,520.0,0.64,,,384.182064816,10.1016/j.dyepig.2019.01.019,train,True
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCOC(C)=O,504.0,520.0,0.47,,,384.182064816,10.1016/j.dyepig.2019.01.019,train,True
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,C1CCOC1,506.0,520.0,0.64,,5.77,384.182064816,10.1016/j.dyepig.2019.01.019,train,True
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCCCCC,507.0,519.0,0.71,,6.26,384.182064816,10.1016/j.dyepig.2019.01.019,train,True
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CO,503.0,518.0,0.58,,,384.182064816,10.1016/j.dyepig.2019.01.019,train,True
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC#N,501.0,513.0,0.55,,,414.1926295,10.1016/j.dyepig.2019.01.019,train,True
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC(C)=O,503.0,515.0,0.8,,,414.1926295,10.1016/j.dyepig.2019.01.019,train,True
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC(=O)C(C)(C)C,505.0,517.0,0.69,,,414.1926295,10.1016/j.dyepig.2019.01.019,train,True
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CCOC(C)=O,503.0,511.0,0.64,,,414.1926295,10.1016/j.dyepig.2019.01.019,train,True
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,C1CCOC1,506.0,517.0,0.78,,5.7,414.1926295,10.1016/j.dyepig.2019.01.019,train,True
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CCCCCC,505.0,520.0,0.95,,6.35,414.1926295,10.1016/j.dyepig.2019.01.019,train,True
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CO,503.0,515.0,0.68,,,414.1926295,10.1016/j.dyepig.2019.01.019,train,True
F[B-]1(F)n2c(Nc3cccc4cccnc34)ccc2C(c2ccccc2)=C2C=CC(Cl)=[N+]21,C1CCCCC1,560.0,580.0,0.17,,3.21,444.112461032,10.1016/j.dyepig.2013.02.013,train,True
F[B-]1(F)n2c(Nc3cccc4cccnc34)ccc2C(c2ccccc2)=C2C=CC(Cl)=[N+]21,Cc1ccccc1,561.0,586.0,0.04,,0.82,444.112461032,10.1016/j.dyepig.2013.02.013,train,True
F[B-]1(F)n2c(Nc3cccc4cccnc34)ccc2C(c2ccccc2)=C2C=CC(Cl)=[N+]21,ClC(Cl)Cl,555.0,583.0,0.01,,,444.112461032,10.1016/j.dyepig.2013.02.013,train,True
F[B-]1(F)n2c(Nc3cccc4cccnc34)ccc2C(c2ccccc2)=C2C=CC(Cl)=[N+]21,CC#N,547.0,580.0,0.002,,,444.112461032,10.1016/j.dyepig.2013.02.013,train,True
CN(C)c1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(c4ccccc4)C=CC2=C3C(F)(F)F)cc1,CCCCCC,665.0,696.0,0.42,,4.42,455.159219108,10.1016/j.dyepig.2016.09.009,train,True
CN(C)c1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(c4ccccc4)C=CC2=C3C(F)(F)F)cc1,ClC(Cl)(Cl)Cl,676.0,712.0,0.34,,3.62,455.159219108,10.1016/j.dyepig.2016.09.009,train,True
CN(C)c1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(c4ccccc4)C=CC2=C3C(F)(F)F)cc1,CCCCOCCCC,675.0,728.0,,,0.57,455.159219108,10.1016/j.dyepig.2016.09.009,train,True
CN(C)c1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(c4ccccc4)C=CC2=C3C(F)(F)F)cc1,Cc1ccccc1,683.0,746.0,,,0.26,455.159219108,10.1016/j.dyepig.2016.09.009,train,True
CN(C)c1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(c4ccccc4)C=CC2=C3C(F)(F)F)cc1,C1COCCO1,678.0,756.0,,,,455.159219108,10.1016/j.dyepig.2016.09.009,train,True
CN(C)c1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(c4ccccc4)C=CC2=C3C(F)(F)F)cc1,CCOC(C)=O,677.0,755.0,,,,455.159219108,10.1016/j.dyepig.2016.09.009,train,True
CN(C)c1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(c4ccccc4)C=CC2=C3C(F)(F)F)cc1,CCO,678.0,750.0,,,,455.159219108,10.1016/j.dyepig.2016.09.009,train,True
CN(C)c1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(c4ccccc4)C=CC2=C3C(F)(F)F)cc1,CCCCO,679.0,745.0,,,,455.159219108,10.1016/j.dyepig.2016.09.009,train,True
