id,atom_idx,symbol,region,importance,sd
1A,0,C,other,0.5443,0.1451
1A,1,C,other,0.5672,0.0779
1A,2,C,other,0.4354,0.0885
1A,3,C,other,0.6846,0.2079
1A,4,C,other,0.5998,0.2734
1A,5,C,other,0.2991,0.0427
1A,6,C,other,0.8189,0.152
1A,7,C,other,0.3498,0.0455
1A,8,N,pyrrole N,0.5698,0.1774
1A,9,B,BF2,0.8821,0.1454
1A,10,F,BF2,0.5417,0.108
1A,11,F,BF2,0.5417,0.108
1A,12,C,other,0.7425,0.2218
1A,13,C,other,0.4109,0.0737
1A,14,C,other,0.3084,0.1019
1A,15,C,other,0.7415,0.1894
1A,16,C,other,0.3504,0.0297
1A,17,N,pyrrole N,0.5881,0.168
1B,0,C,other,0.5502,0.1469
1B,1,C,other,0.5695,0.0829
1B,2,C,other,0.437,0.0891
1B,3,C,other,0.691,0.203
1B,4,C,other,0.5905,0.2698
1B,5,C,other,0.3408,0.0421
1B,6,C,other,0.7664,0.2013
1B,7,C,other,0.4724,0.0768
1B,8,C,other,0.4721,0.1232
1B,9,N,pyrrole N,0.5439,0.1363
1B,10,B,BF2,0.8925,0.1359
1B,11,F,BF2,0.5473,0.1141
1B,12,F,BF2,0.5473,0.1141
1B,13,C,other,0.7494,0.2287
1B,14,C,other,0.371,0.0406
1B,15,C,other,0.2797,0.0708
1B,16,C,other,0.7693,0.1661
1B,17,C,other,0.4563,0.0953
1B,18,C,other,0.4726,0.1516
1B,19,N,pyrrole N,0.6002,0.1677
2A,0,C,other,0.5436,0.0398
2A,1,C,other,1.0,0.0
2A,2,C,other,0.3817,0.0333
2A,3,C,other,0.3194,0.0262
2A,4,C,other,0.2811,0.0303
2A,5,C,other,0.3194,0.0262
2A,6,C,other,0.3817,0.0333
2A,7,C,other,0.4647,0.1999
2A,8,C,other,0.4617,0.2082
2A,9,C,other,0.2348,0.0247
2A,10,C,other,0.6398,0.1312
2A,11,C,other,0.2779,0.0364
2A,12,N,pyrrole N,0.4378,0.1277
2A,13,B,BF2,0.7025,0.1415
2A,14,F,BF2,0.4282,0.0787
2A,15,F,BF2,0.4282,0.0787
2A,16,C,other,0.5044,0.1248
2A,17,C,other,0.2982,0.0592
2A,18,C,other,0.2394,0.0594
2A,19,C,other,0.5946,0.1849
2A,20,C,other,0.2776,0.0174
2A,21,N,pyrrole N,0.4443,0.1189
2B,0,C,other,0.5439,0.0395
2B,1,C,other,1.0,0.0
2B,2,C,other,0.3817,0.0333
2B,3,C,other,0.3194,0.0262
2B,4,C,other,0.2811,0.0303
2B,5,C,other,0.3194,0.0262
2B,6,C,other,0.3817,0.0333
2B,7,C,other,0.4681,0.1974
2B,8,C,other,0.4548,0.207
2B,9,C,other,0.2661,0.0218
2B,10,C,other,0.5928,0.1616
2B,11,C,other,0.3733,0.06
2B,12,C,other,0.3725,0.0921
2B,13,N,pyrrole N,0.4196,0.1016
2B,14,B,BF2,0.7099,0.1386
2B,15,F,BF2,0.4309,0.0812
2B,16,F,BF2,0.4309,0.0812
2B,17,C,other,0.5077,0.125
2B,18,C,other,0.267,0.034
2B,19,C,other,0.2176,0.0372
2B,20,C,other,0.6103,0.1606
2B,21,C,other,0.359,0.0679
2B,22,C,other,0.3735,0.1157
2B,23,N,pyrrole N,0.4577,0.1255
3A,0,C,other,0.5497,0.0404
3A,1,C,other,1.0,0.0
3A,2,C,other,0.3188,0.04
3A,3,C,other,0.2277,0.0239
3A,4,C,other,0.5452,0.1327
3A,5,O,other,0.6753,0.1949
3A,6,C,other,0.2874,0.0846
3A,7,C,other,0.2277,0.0239
3A,8,C,other,0.3188,0.04
3A,9,C,other,0.4686,0.1992
3A,10,C,other,0.4672,0.2107
3A,11,C,other,0.2372,0.0236
3A,12,C,other,0.6463,0.13
3A,13,C,other,0.2809,0.0363
3A,14,N,pyrrole N,0.4432,0.1314
3A,15,B,BF2,0.7106,0.1441
3A,16,F,BF2,0.4331,0.08
3A,17,F,BF2,0.4331,0.08
3A,18,C,other,0.5093,0.1234
3A,19,C,other,0.3014,0.0594
3A,20,C,other,0.2419,0.0596
3A,21,C,other,0.6006,0.1849
3A,22,C,other,0.2807,0.0167
3A,23,N,pyrrole N,0.4497,0.1223
3B,0,C,other,0.55,0.0402
3B,1,C,other,1.0,0.0
3B,2,C,other,0.3188,0.04
3B,3,C,other,0.2277,0.0239
3B,4,C,other,0.5452,0.1327
3B,5,O,other,0.6753,0.1949
3B,6,C,other,0.2874,0.0846
3B,7,C,other,0.2277,0.0239
3B,8,C,other,0.3188,0.04
3B,9,C,other,0.4721,0.1966
3B,10,C,other,0.4602,0.2094
3B,11,C,other,0.269,0.0204
3B,12,C,other,0.5991,0.1617
3B,13,C,other,0.3779,0.0635
3B,14,C,other,0.3759,0.0902
3B,15,N,pyrrole N,0.4249,0.1057
3B,16,B,BF2,0.7181,0.1413
3B,17,F,BF2,0.4358,0.0824
3B,18,F,BF2,0.4358,0.0824
3B,19,C,other,0.5126,0.1236
3B,20,C,other,0.27,0.0351
3B,21,C,other,0.2201,0.0377
3B,22,C,other,0.6165,0.16
3B,23,C,other,0.3636,0.072
3B,24,C,other,0.3768,0.114
3B,25,N,pyrrole N,0.4631,0.1281
4A,0,C,other,0.5446,0.0318
4A,1,C,other,0.9918,0.0164
4A,2,C,other,0.2352,0.0466
4A,3,C,other,0.1894,0.0259
4A,4,C,other,0.8281,0.1396
4A,5,Br,other,0.4621,0.0773
4A,6,C,other,0.1894,0.0259
4A,7,C,other,0.2352,0.0466
4A,8,C,other,0.4662,0.2014
