set,model,seed,target,n,MAE,RMSE,R2,rho,publication
per_pub,MLP,0,Abs. λmax (nm),138,35.4205,40.8194,-0.1715,0.5572,10.1021/acs.joc.6b00414
per_pub,MLP,0,Em. λmax (nm),138,30.4407,35.5717,0.3597,0.6251,10.1021/acs.joc.6b00414
per_pub,MLP,0,ΦF (quantum yield),138,0.2532,0.2879,0.4328,0.7269,10.1021/acs.joc.6b00414
per_pub,MLP,0,log ε,138,0.1615,0.2206,-0.0551,0.1788,10.1021/acs.joc.6b00414
per_pub,MLP,0,Abs. λmax (nm),22,32.9855,41.154,-0.1501,0.7246,10.1021/ol202379w
per_pub,MLP,0,Em. λmax (nm),22,50.5179,60.095,-1.3563,0.7987,10.1021/ol202379w
per_pub,MLP,0,ΦF (quantum yield),20,0.368,0.4073,-3.6121,0.4115,10.1021/ol202379w
per_pub,MLP,0,Abs. λmax (nm),100,27.7134,35.7874,0.3084,0.5572,10.1016/j.dyepig.2018.01.043
per_pub,MLP,0,Em. λmax (nm),100,22.1914,31.5704,0.176,0.4894,10.1016/j.dyepig.2018.01.043
per_pub,MLP,0,ΦF (quantum yield),70,0.3064,0.3631,-0.7396,-0.2554,10.1016/j.dyepig.2018.01.043
per_pub,MLP,0,Abs. λmax (nm),96,22.357,27.7021,0.7096,0.8478,10.1021/acs.joc.9b01425
per_pub,MLP,0,Em. λmax (nm),96,16.2731,21.3083,0.7894,0.9033,10.1021/acs.joc.9b01425
per_pub,MLP,0,ΦF (quantum yield),96,0.2155,0.2588,0.0418,0.3913,10.1021/acs.joc.9b01425
per_pub,MLP,0,log ε,96,0.1628,0.2085,-0.2756,0.3301,10.1021/acs.joc.9b01425
per_pub,MLP,0,Abs. λmax (nm),23,46.7926,61.9402,-2.3036,0.0723,10.1021/acs.joc.9b00020
per_pub,MLP,0,Em. λmax (nm),23,24.399,28.176,-0.9322,0.7559,10.1021/acs.joc.9b00020
per_pub,MLP,0,ΦF (quantum yield),23,0.1667,0.2044,-0.0269,0.4803,10.1021/acs.joc.9b00020
per_pub,MLP,0,log ε,23,0.2103,0.2466,-6.9165,-0.284,10.1021/acs.joc.9b00020
per_pub,MLP,0,Abs. λmax (nm),83,45.5023,57.5736,-5.993,0.531,10.1021/ol503379c
per_pub,MLP,0,Em. λmax (nm),83,70.4075,82.111,-16.9589,0.5207,10.1021/ol503379c
per_pub,MLP,0,ΦF (quantum yield),83,0.338,0.3784,-1.6461,0.0193,10.1021/ol503379c
per_pub,MLP,0,log ε,81,0.262,0.2818,-9.6716,0.4663,10.1021/ol503379c
per_pub,MLP,0,Abs. λmax (nm),96,21.5082,25.4318,-4.8801,0.5169,10.1039/c7cp08472b
per_pub,MLP,0,Em. λmax (nm),96,36.6711,38.6626,-10.6941,0.2869,10.1039/c7cp08472b
per_pub,MLP,0,ΦF (quantum yield),90,0.2653,0.3072,0.2844,0.7417,10.1039/c7cp08472b
per_pub,MLP,0,Abs. λmax (nm),35,33.0467,37.8297,-5.46,0.3784,10.1021/acs.joc.8b01429
per_pub,MLP,0,Em. λmax (nm),35,72.1969,80.5162,-8.5669,-0.0868,10.1021/acs.joc.8b01429
per_pub,MLP,0,ΦF (quantum yield),33,0.208,0.2385,0.3823,0.6409,10.1021/acs.joc.8b01429
per_pub,MLP,0,log ε,35,0.1515,0.1899,-0.233,-0.1934,10.1021/acs.joc.8b01429
per_pub,MLP,0,Abs. λmax (nm),90,20.9146,24.5411,-0.2342,0.5451,10.1016/j.tet.2011.11.070
per_pub,MLP,0,Em. λmax (nm),90,13.7512,17.4113,0.3825,0.7952,10.1016/j.tet.2011.11.070
per_pub,MLP,0,ΦF (quantum yield),90,0.4597,0.4947,-3.359,0.6907,10.1016/j.tet.2011.11.070
per_pub,MLP,0,log ε,90,0.2379,0.2978,-0.5759,0.0859,10.1016/j.tet.2011.11.070
per_pub,MLP,0,Abs. λmax (nm),14,63.928,75.6902,-3.4136,0.5017,10.1016/j.jphotobiol.2017.12.006
per_pub,MLP,0,Em. λmax (nm),14,59.3407,73.2565,-24.2767,0.6967,10.1016/j.jphotobiol.2017.12.006
per_pub,MLP,0,ΦF (quantum yield),14,0.3549,0.3857,-2.5451,0.1146,10.1016/j.jphotobiol.2017.12.006
per_pub,MLP,0,log ε,14,0.293,0.3149,-17.7029,0.396,10.1016/j.jphotobiol.2017.12.006
per_pub,MLP,0,Abs. λmax (nm),12,20.7274,26.2272,-1.947,0.6795,10.1016/j.dyepig.2018.04.070
per_pub,MLP,0,Em. λmax (nm),12,30.7519,46.7292,0.4817,0.6364,10.1016/j.dyepig.2018.04.070
per_pub,MLP,0,ΦF (quantum yield),12,0.2108,0.2947,0.0312,0.4413,10.1016/j.dyepig.2018.04.070
per_pub,MLP,0,log ε,12,0.3429,0.4084,-1.4732,-0.0502,10.1016/j.dyepig.2018.04.070
per_pub,MLP,0,Abs. λmax (nm),43,51.3257,54.4286,-42.0423,0.3951,10.1021/acs.joc.8b02933
per_pub,MLP,0,Em. λmax (nm),43,62.9314,65.5589,-38.8068,0.2446,10.1021/acs.joc.8b02933
per_pub,MLP,0,ΦF (quantum yield),43,0.321,0.3667,-2.5364,0.3144,10.1021/acs.joc.8b02933
per_pub,MLP,0,log ε,43,0.2585,0.2824,-6.0192,0.1362,10.1021/acs.joc.8b02933
per_pub,1D-CNN,0,Abs. λmax (nm),138,35.4167,43.4242,-0.3258,0.1093,10.1021/acs.joc.6b00414
per_pub,1D-CNN,0,Em. λmax (nm),138,35.405,43.2452,0.0537,0.3117,10.1021/acs.joc.6b00414
per_pub,1D-CNN,0,ΦF (quantum yield),138,0.3796,0.4241,-0.2307,0.1696,10.1021/acs.joc.6b00414
per_pub,1D-CNN,0,log ε,138,0.1735,0.2221,-0.0691,0.2429,10.1021/acs.joc.6b00414
per_pub,1D-CNN,0,Abs. λmax (nm),22,53.8569,67.5266,-2.0965,0.6363,10.1021/ol202379w
per_pub,1D-CNN,0,Em. λmax (nm),22,74.2796,87.4656,-3.9916,0.5987,10.1021/ol202379w
per_pub,1D-CNN,0,ΦF (quantum yield),20,0.5111,0.564,-7.8447,0.1364,10.1021/ol202379w
per_pub,1D-CNN,0,Abs. λmax (nm),100,27.5074,37.5696,0.2378,0.436,10.1016/j.dyepig.2018.01.043
per_pub,1D-CNN,0,Em. λmax (nm),100,25.9575,35.0587,-0.0161,0.3772,10.1016/j.dyepig.2018.01.043
per_pub,1D-CNN,0,ΦF (quantum yield),70,0.319,0.3703,-0.809,-0.6774,10.1016/j.dyepig.2018.01.043
per_pub,1D-CNN,0,Abs. λmax (nm),96,29.9326,36.381,0.4992,0.8429,10.1021/acs.joc.9b01425
per_pub,1D-CNN,0,Em. λmax (nm),96,27.3199,32.5256,0.5094,0.8771,10.1021/acs.joc.9b01425
per_pub,1D-CNN,0,ΦF (quantum yield),96,0.2463,0.2936,-0.2332,0.3943,10.1021/acs.joc.9b01425
per_pub,1D-CNN,0,log ε,96,0.098,0.1301,0.5029,0.7164,10.1021/acs.joc.9b01425
per_pub,1D-CNN,0,Abs. λmax (nm),23,32.3551,38.6327,-0.2851,0.3415,10.1021/acs.joc.9b00020
per_pub,1D-CNN,0,Em. λmax (nm),23,17.09,21.6565,-0.1415,0.5382,10.1021/acs.joc.9b00020
per_pub,1D-CNN,0,ΦF (quantum yield),23,0.203,0.22,-0.1898,0.5289,10.1021/acs.joc.9b00020
per_pub,1D-CNN,0,log ε,23,0.1777,0.2131,-4.9115,0.0392,10.1021/acs.joc.9b00020
per_pub,1D-CNN,0,Abs. λmax (nm),83,58.7284,67.1214,-8.5048,0.4025,10.1021/ol503379c
per_pub,1D-CNN,0,Em. λmax (nm),83,97.7587,104.2624,-27.9556,0.441,10.1021/ol503379c
per_pub,1D-CNN,0,ΦF (quantum yield),83,0.4639,0.5146,-3.8936,0.1186,10.1021/ol503379c
per_pub,1D-CNN,0,log ε,81,0.2593,0.2818,-9.6743,-0.0159,10.1021/ol503379c
per_pub,1D-CNN,0,Abs. λmax (nm),96,29.6897,35.8955,-10.7141,0.2098,10.1039/c7cp08472b
per_pub,1D-CNN,0,Em. λmax (nm),96,41.8999,48.2667,-17.2256,0.1281,10.1039/c7cp08472b
per_pub,1D-CNN,0,ΦF (quantum yield),90,0.3536,0.3861,-0.13,0.2831,10.1039/c7cp08472b
per_pub,1D-CNN,0,Abs. λmax (nm),35,39.8069,47.6465,-9.2477,0.1554,10.1021/acs.joc.8b01429
per_pub,1D-CNN,0,Em. λmax (nm),35,82.4714,89.7815,-10.8954,0.0283,10.1021/acs.joc.8b01429
per_pub,1D-CNN,0,ΦF (quantum yield),33,0.2704,0.3042,-0.0047,0.0555,10.1021/acs.joc.8b01429
per_pub,1D-CNN,0,log ε,35,0.1478,0.1892,-0.2239,0.249,10.1021/acs.joc.8b01429
per_pub,1D-CNN,0,Abs. λmax (nm),90,18.7147,21.7723,0.0286,0.5124,10.1016/j.tet.2011.11.070
per_pub,1D-CNN,0,Em. λmax (nm),90,16.9364,19.4846,0.2267,0.5457,10.1016/j.tet.2011.11.070
per_pub,1D-CNN,0,ΦF (quantum yield),90,0.316,0.3575,-1.2766,0.4521,10.1016/j.tet.2011.11.070
per_pub,1D-CNN,0,log ε,90,0.2923,0.3666,-1.3882,-0.2675,10.1016/j.tet.2011.11.070
per_pub,1D-CNN,0,Abs. λmax (nm),14,75.9077,89.5601,-5.1794,0.2266,10.1016/j.jphotobiol.2017.12.006
per_pub,1D-CNN,0,Em. λmax (nm),14,81.2853,88.3906,-35.7993,0.6967,10.1016/j.jphotobiol.2017.12.006
per_pub,1D-CNN,0,ΦF (quantum yield),14,0.5319,0.5672,-6.6653,0.29,10.1016/j.jphotobiol.2017.12.006
per_pub,1D-CNN,0,log ε,14,0.2826,0.3059,-16.6502,-0.2596,10.1016/j.jphotobiol.2017.12.006
per_pub,1D-CNN,0,Abs. λmax (nm),12,19.2652,28.1698,-2.3998,0.5079,10.1016/j.dyepig.2018.04.070
per_pub,1D-CNN,0,Em. λmax (nm),12,44.1002,58.7369,0.1811,0.5874,10.1016/j.dyepig.2018.04.070
per_pub,1D-CNN,0,ΦF (quantum yield),12,0.1768,0.2253,0.4335,0.8581,10.1016/j.dyepig.2018.04.070
per_pub,1D-CNN,0,log ε,12,0.2074,0.2789,-0.154,0.1147,10.1016/j.dyepig.2018.04.070
per_pub,1D-CNN,0,Abs. λmax (nm),43,76.1418,78.4207,-88.3514,0.0957,10.1021/acs.joc.8b02933
per_pub,1D-CNN,0,Em. λmax (nm),43,87.3089,89.465,-73.1311,0.1223,10.1021/acs.joc.8b02933
per_pub,1D-CNN,0,ΦF (quantum yield),43,0.3578,0.3931,-3.0633,0.5962,10.1021/acs.joc.8b02933
per_pub,1D-CNN,0,log ε,43,0.1144,0.1321,-0.5357,0.4111,10.1021/acs.joc.8b02933
per_pub,Transformer,0,Abs. λmax (nm),138,37.4031,42.0779,-0.2449,0.62,10.1021/acs.joc.6b00414
per_pub,Transformer,0,Em. λmax (nm),138,29.5869,37.3103,0.2956,0.686,10.1021/acs.joc.6b00414
per_pub,Transformer,0,ΦF (quantum yield),138,0.3663,0.4001,-0.0953,0.426,10.1021/acs.joc.6b00414
per_pub,Transformer,0,log ε,138,0.1898,0.2318,-0.165,0.0973,10.1021/acs.joc.6b00414
per_pub,Transformer,0,Abs. λmax (nm),22,22.4244,26.0893,0.5378,0.695,10.1021/ol202379w
per_pub,Transformer,0,Em. λmax (nm),22,24.771,30.0868,0.4094,0.693,10.1021/ol202379w
per_pub,Transformer,0,ΦF (quantum yield),20,0.3189,0.3552,-2.5077,0.4989,10.1021/ol202379w
per_pub,Transformer,0,Abs. λmax (nm),100,45.7854,59.1368,-0.8885,0.3883,10.1016/j.dyepig.2018.01.043
per_pub,Transformer,0,Em. λmax (nm),100,47.9969,56.2258,-1.6135,0.43,10.1016/j.dyepig.2018.01.043
per_pub,Transformer,0,ΦF (quantum yield),70,0.3044,0.4015,-1.1265,-0.3254,10.1016/j.dyepig.2018.01.043
per_pub,Transformer,0,Abs. λmax (nm),96,49.817,61.637,-0.4375,0.3153,10.1021/acs.joc.9b01425
per_pub,Transformer,0,Em. λmax (nm),96,49.0958,59.1555,-0.6229,0.2773,10.1021/acs.joc.9b01425
per_pub,Transformer,0,ΦF (quantum yield),96,0.1901,0.2347,0.212,0.482,10.1021/acs.joc.9b01425
per_pub,Transformer,0,log ε,96,0.1725,0.2163,-0.3737,0.1113,10.1021/acs.joc.9b01425
per_pub,Transformer,0,Abs. λmax (nm),23,29.5294,33.5411,0.0313,0.3242,10.1021/acs.joc.9b00020
per_pub,Transformer,0,Em. λmax (nm),23,28.2924,33.0093,-1.652,0.2731,10.1021/acs.joc.9b00020
per_pub,Transformer,0,ΦF (quantum yield),23,0.1918,0.2144,-0.13,0.4694,10.1021/acs.joc.9b00020
per_pub,Transformer,0,log ε,23,0.2481,0.2659,-8.202,-0.1155,10.1021/acs.joc.9b00020
per_pub,Transformer,0,Abs. λmax (nm),83,47.6744,54.2596,-5.2112,0.661,10.1021/ol503379c
per_pub,Transformer,0,Em. λmax (nm),83,25.3439,35.0061,-2.2641,0.5593,10.1021/ol503379c
