set,model,seed,target,n,MAE,RMSE,R2,rho
pooled_external,MLP,0,Abs. λmax (nm),790,30.8652,39.4508,0.5662,0.7504
pooled_external,MLP,0,Em. λmax (nm),790,34.8743,46.2931,0.4916,0.7244
pooled_external,MLP,0,ΦF (quantum yield),748,0.2888,0.3397,0.0911,0.3861
pooled_external,MLP,0,log ε,544,0.206,0.2545,0.1132,0.412
derin2018,MLP,0,Abs. λmax (nm),8,7.8605,9.8719,-17.1841,0.5302
derin2018,MLP,0,Em. λmax (nm),8,23.1254,26.0608,-23.7532,0.0238
derin2018,MLP,0,ΦF (quantum yield),8,0.178,0.2196,0.36,0.5714
derin2018,MLP,0,log ε,8,0.0417,0.0573,-0.7178,0.0
pooled_external,1D-CNN,0,Abs. λmax (nm),790,35.9741,46.2321,0.4043,0.706
pooled_external,1D-CNN,0,Em. λmax (nm),790,44.3002,57.7898,0.2078,0.6103
pooled_external,1D-CNN,0,ΦF (quantum yield),748,0.337,0.3898,-0.1968,0.0915
pooled_external,1D-CNN,0,log ε,544,0.1886,0.2443,0.183,0.5574
derin2018,1D-CNN,0,Abs. λmax (nm),8,9.1911,15.1683,-41.9299,-0.5181
derin2018,1D-CNN,0,Em. λmax (nm),8,15.5035,23.6978,-19.4679,-0.619
derin2018,1D-CNN,0,ΦF (quantum yield),8,0.1718,0.2089,0.4204,0.5
derin2018,1D-CNN,0,log ε,8,0.0381,0.0425,0.0549,0.6905
pooled_external,Transformer,0,Abs. λmax (nm),790,44.1112,54.8911,0.1602,0.6518
pooled_external,Transformer,0,Em. λmax (nm),790,45.5563,58.035,0.2011,0.5932
pooled_external,Transformer,0,ΦF (quantum yield),748,0.3243,0.386,-0.1735,0.1155
pooled_external,Transformer,0,log ε,544,0.1875,0.2435,0.1882,0.4212
derin2018,Transformer,0,Abs. λmax (nm),8,17.9117,22.8617,-96.5224,0.9639
derin2018,Transformer,0,Em. λmax (nm),8,17.7254,22.195,-16.9541,0.881
derin2018,Transformer,0,ΦF (quantum yield),8,0.1524,0.1755,0.5911,0.4048
derin2018,Transformer,0,log ε,8,0.0525,0.0671,-1.3582,-0.4286
pooled_external,GATv2,0,Abs. λmax (nm),790,36.746,48.3299,0.349,0.7059
pooled_external,GATv2,0,Em. λmax (nm),790,45.2614,57.9356,0.2038,0.6569
pooled_external,GATv2,0,ΦF (quantum yield),748,0.321,0.3811,-0.1441,0.0899
pooled_external,GATv2,0,log ε,544,0.2031,0.2593,0.0793,0.4786
derin2018,GATv2,0,Abs. λmax (nm),8,7.0432,9.3866,-15.4401,-0.241
derin2018,GATv2,0,Em. λmax (nm),8,14.9905,17.3561,-9.9789,-0.119
derin2018,GATv2,0,ΦF (quantum yield),8,0.1209,0.1569,0.6733,0.5714
derin2018,GATv2,0,log ε,8,0.0771,0.1085,-5.1558,0.8571
pooled_external,MLP,1,Abs. λmax (nm),790,29.5896,37.0756,0.6169,0.7516
pooled_external,MLP,1,Em. λmax (nm),790,32.5268,43.2185,0.5569,0.7219
pooled_external,MLP,1,ΦF (quantum yield),748,0.2913,0.3413,0.0826,0.3734
pooled_external,MLP,1,log ε,544,0.2006,0.2505,0.1407,0.4659
derin2018,MLP,1,Abs. λmax (nm),8,7.6804,9.574,-16.1032,0.5302
derin2018,MLP,1,Em. λmax (nm),8,22.1313,25.4797,-22.6616,0.1429
derin2018,MLP,1,ΦF (quantum yield),8,0.186,0.236,0.2609,0.3333
derin2018,MLP,1,log ε,8,0.0731,0.086,-2.8658,0.0
pooled_external,1D-CNN,1,Abs. λmax (nm),790,32.6562,41.0535,0.5302,0.7587
pooled_external,1D-CNN,1,Em. λmax (nm),790,42.569,53.0356,0.3328,0.6794
pooled_external,1D-CNN,1,ΦF (quantum yield),748,0.3391,0.3866,-0.1775,0.071
pooled_external,1D-CNN,1,log ε,544,0.1754,0.2272,0.2934,0.5431
derin2018,1D-CNN,1,Abs. λmax (nm),8,5.4041,6.132,-6.016,0.2048
derin2018,1D-CNN,1,Em. λmax (nm),8,7.7246,10.4819,-3.0044,0.2381
derin2018,1D-CNN,1,ΦF (quantum yield),8,0.1224,0.1502,0.7007,0.7857
derin2018,1D-CNN,1,log ε,8,0.0645,0.0814,-2.4671,-0.1905
pooled_external,Transformer,1,Abs. λmax (nm),790,45.2114,58.2068,0.0557,0.6412
pooled_external,Transformer,1,Em. λmax (nm),790,49.7196,63.9015,0.0314,0.5271
pooled_external,Transformer,1,ΦF (quantum yield),748,0.3368,0.3995,-0.2572,0.0751
pooled_external,Transformer,1,log ε,544,0.177,0.2284,0.286,0.566
derin2018,Transformer,1,Abs. λmax (nm),8,11.1555,12.9925,-30.497,0.8916
derin2018,Transformer,1,Em. λmax (nm),8,18.2387,18.9811,-12.131,0.7857
derin2018,Transformer,1,ΦF (quantum yield),8,0.1854,0.2015,0.4608,0.3095
derin2018,Transformer,1,log ε,8,0.0562,0.0605,-0.9144,0.4524
pooled_external,GATv2,1,Abs. λmax (nm),790,38.9251,52.982,0.2176,0.5941
pooled_external,GATv2,1,Em. λmax (nm),790,40.2888,52.5674,0.3445,0.6497
pooled_external,GATv2,1,ΦF (quantum yield),748,0.343,0.3919,-0.2097,-0.0672
pooled_external,GATv2,1,log ε,544,0.2184,0.2715,-0.0089,0.1775
derin2018,GATv2,1,Abs. λmax (nm),8,21.3208,25.2907,-118.3458,0.3856
derin2018,GATv2,1,Em. λmax (nm),8,28.2262,31.9544,-36.2149,0.2857
derin2018,GATv2,1,ΦF (quantum yield),8,0.1836,0.2123,0.4019,0.5
derin2018,GATv2,1,log ε,8,0.0804,0.0946,-3.6824,0.0476
pooled_external,MLP,2,Abs. λmax (nm),790,30.804,38.7379,0.5817,0.7617
pooled_external,MLP,2,Em. λmax (nm),790,34.4333,44.431,0.5317,0.7308
pooled_external,MLP,2,ΦF (quantum yield),748,0.3075,0.3546,0.0093,0.2968
pooled_external,MLP,2,log ε,544,0.1954,0.2421,0.1975,0.4905
derin2018,MLP,2,Abs. λmax (nm),8,10.6238,12.6147,-28.6921,0.7591
derin2018,MLP,2,Em. λmax (nm),8,15.1,18.9619,-12.1044,0.2619
derin2018,MLP,2,ΦF (quantum yield),8,0.1841,0.2365,0.2577,0.4762
