model,target,MAE,R2,rho,n_fold
1D-CNN,Abs. λmax (nm),37.136 ± 17.792,-11.395 ± 29.139,0.490 ± 0.204,12
1D-CNN,Em. λmax (nm),49.778 ± 31.689,-12.289 ± 24.050,0.498 ± 0.248,12
1D-CNN,log ε,0.159 ± 0.061,-0.945 ± 1.296,0.303 ± 0.391,9
1D-CNN,ΦF (quantum yield),0.333 ± 0.101,-1.901 ± 2.686,0.237 ± 0.363,12
GATv2,Abs. λmax (nm),35.380 ± 17.505,-8.967 ± 17.346,0.500 ± 0.261,12
GATv2,Em. λmax (nm),41.012 ± 26.994,-8.820 ± 15.225,0.503 ± 0.269,12
GATv2,log ε,0.205 ± 0.109,-3.517 ± 6.442,0.249 ± 0.318,9
GATv2,ΦF (quantum yield),0.290 ± 0.087,-1.110 ± 1.769,0.300 ± 0.407,12
MLP,Abs. λmax (nm),32.752 ± 17.331,-6.877 ± 18.923,0.515 ± 0.199,12
MLP,Em. λmax (nm),37.650 ± 23.452,-8.581 ± 19.110,0.544 ± 0.260,12
MLP,log ε,0.188 ± 0.066,-1.982 ± 2.081,0.204 ± 0.214,9
MLP,ΦF (quantum yield),0.305 ± 0.081,-1.387 ± 1.840,0.386 ± 0.329,12
Transformer,Abs. λmax (nm),46.340 ± 22.821,-22.298 ± 43.968,0.406 ± 0.263,12
Transformer,Em. λmax (nm),47.025 ± 29.281,-17.360 ± 35.578,0.446 ± 0.256,12
Transformer,log ε,0.182 ± 0.063,-1.974 ± 2.537,0.039 ± 0.431,9
Transformer,ΦF (quantum yield),0.302 ± 0.078,-1.260 ± 1.715,0.221 ± 0.320,12
